CENTRAL POLLUTION CONTROL BOARD,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,
"Date: Thursday, Apr 08 2021",,,,,,,,
Time: 04:23:17 PM,,,,,,,,
State,Delhi,,,,,,,
City,Delhi,,,,,,,
Station,"R K Puram, Delhi - DPCC",,,,,,,
Parameter,"PM2.5,PM10",,,,,,,
AvgPeriod,24 Hours,,,,,,,
From,01-01-2015T00:00:00Z 00:00,,,,,,,
To,01-01-2016T00:00:59Z 00:00,,,,,,,
,,,,,,,,
"R K Puram, Delhi - DPCC",,,,,,,,
Prescribed Standards, ,0-60,0-100,,,,,
Exceeding Standards, ,NA,NA,,,,,
Remarks,,,,,,,,
From Date,To Date,PM2.5,PM10,,,,,
19-07-2015 00:00,20-07-2015 00:00,69.55,117.25,,,,,
20-07-2015 00:00,21-07-2015 00:00,56.08,83.34,,,,,
21-07-2015 00:00,22-07-2015 00:00,42.74,68.8,,,,,
22-07-2015 00:00,23-07-2015 00:00,39.91,65.27,,,,,
23-07-2015 00:00,24-07-2015 00:00,38.02,81.95,,,,,
24-07-2015 00:00,25-07-2015 00:00,44.07,89.64,,,,,
25-07-2015 00:00,26-07-2015 00:00,47.81,85.36,,,,,
26-07-2015 00:00,27-07-2015 00:00,28.4,57.59,,,,,
27-07-2015 00:00,28-07-2015 00:00,20.51,40.3,,,,,
28-07-2015 00:00,29-07-2015 00:00,18.01,44.85,,,,,
29-07-2015 00:00,30-07-2015 00:00,17.66,50.48,,,,,
30-07-2015 00:00,31-07-2015 00:00,11.36,41.69,,,,,
31-07-2015 00:00,01-08-2015 00:00,37.01,79.16,,,,,
01-08-2015 00:00,02-08-2015 00:00,40.28,88.97,,,,,
02-08-2015 00:00,03-08-2015 00:00,48.03,90.3,,,,,
03-08-2015 00:00,04-08-2015 00:00,45.19,101.18,,,,,
04-08-2015 00:00,05-08-2015 00:00,43.94,105.23,,,,,
05-08-2015 00:00,06-08-2015 00:00,62.79,101.53,,,,,
06-08-2015 00:00,07-08-2015 00:00,57.71,84.76,,,,,
07-08-2015 00:00,08-08-2015 00:00,44.44,98.77,,,,,
08-08-2015 00:00,09-08-2015 00:00,60.99,122.55,,,,,
09-08-2015 00:00,10-08-2015 00:00,58.02,84.91,,,,,
10-08-2015 00:00,11-08-2015 00:00,96.98,134.17,,,,,
11-08-2015 00:00,12-08-2015 00:00,72.56,96.22,,,,,
12-08-2015 00:00,13-08-2015 00:00,64.47,92.11,,,,,
13-08-2015 00:00,14-08-2015 00:00,70.56,120.04,,,,,
14-08-2015 00:00,15-08-2015 00:00,66.51,106.7,,,,,
15-08-2015 00:00,16-08-2015 00:00,46.97,66.72,,,,,
16-08-2015 00:00,17-08-2015 00:00,51.93,75.42,,,,,
17-08-2015 00:00,18-08-2015 00:00,70.46,101.29,,,,,
18-08-2015 00:00,19-08-2015 00:00,53.1,95.25,,,,,
19-08-2015 00:00,20-08-2015 00:00,26.07,69.43,,,,,
20-08-2015 00:00,21-08-2015 00:00,25.24,117.96,,,,,
21-08-2015 00:00,22-08-2015 00:00,45.94,177.85,,,,,
22-08-2015 00:00,23-08-2015 00:00,52.76,193.78,,,,,
23-08-2015 00:00,24-08-2015 00:00,49.27,111.26,,,,,
24-08-2015 00:00,25-08-2015 00:00,47.23,102.58,,,,,
25-08-2015 00:00,26-08-2015 00:00,53.61,138.19,,,,,
26-08-2015 00:00,27-08-2015 00:00,54.4,143.97,,,,,
27-08-2015 00:00,28-08-2015 00:00,62.31,171.25,,,,,
28-08-2015 00:00,29-08-2015 00:00,80.95,178.29,,,,,
29-08-2015 00:00,30-08-2015 00:00,52.85,126.55,,,,,
30-08-2015 00:00,31-08-2015 00:00,51.39,138.22,,,,,
31-08-2015 00:00,01-09-2015 00:00,46.49,172.08,,,,,
01-09-2015 00:00,02-09-2015 00:00,75.63,282.75,,,,,
02-09-2015 00:00,03-09-2015 00:00,112.43,341.81,,,,,
03-09-2015 00:00,04-09-2015 00:00,101.16,297.2,,,,,
04-09-2015 00:00,05-09-2015 00:00,85.11,240.42,,,,,
05-09-2015 00:00,06-09-2015 00:00,66.48,190.17,,,,,
06-09-2015 00:00,07-09-2015 00:00,None,None,,,,,
07-09-2015 00:00,08-09-2015 00:00,43.04,181.38,,,,,
08-09-2015 00:00,09-09-2015 00:00,50.13,220.86,,,,,
09-09-2015 00:00,10-09-2015 00:00,43.16,185.62,,,,,
10-09-2015 00:00,11-09-2015 00:00,47.74,169.07,,,,,
11-09-2015 00:00,12-09-2015 00:00,59.15,155.17,,,,,
12-09-2015 00:00,13-09-2015 00:00,88.8,186.78,,,,,
13-09-2015 00:00,14-09-2015 00:00,95.58,265,,,,,
14-09-2015 00:00,15-09-2015 00:00,117.87,252.21,,,,,
15-09-2015 00:00,16-09-2015 00:00,115,229.17,,,,,
16-09-2015 00:00,17-09-2015 00:00,94.38,194.24,,,,,
17-09-2015 00:00,18-09-2015 00:00,122.08,248.7,,,,,
18-09-2015 00:00,19-09-2015 00:00,54.72,126.75,,,,,
19-09-2015 00:00,20-09-2015 00:00,69.7,109.84,,,,,
